rank_order,name,location,loc_count
3370,University of South Australia,Australia,36
3380,University of Southern Queensland,Australia,36
3390,Stony Brook University,United States of America,160
3400,University of Stuttgart,Germany,49
3410,Swinburne University of Technology,Australia,36
3420,Taipei Medical University,Taiwan,11
3430,Tampere University,Finland,10
3440,University of Tasmania,Australia,36
3450,Technical University of Darmstadt,Germany,49
3460,Temple University,United States of America,160
3470,The University of Tennessee-Knoxville,United States of America,160
3480,Tokyo Institute of Technology,Japan,22
3490,University College Cork,Ireland,8
3500,University of Victoria,Canada,30
3510,American University of Beirut,Lebanon,3
3520,"Asia University, Taiwan",Taiwan,11
3530,Ateneo de Manila University,Philippines,2
3540,"Birkbeck, University of London",United Kingdom,92
3550,University of Bremen,Germany,49
3560,University of Brescia,Italy,54
3570,University of Cape Coast,Ghana,1
3580,Catholic University of Portugal,Portugal,9
3590,Central South University,China,64
3600,Charles Darwin University,Australia,36
3610,"City, University of London",United Kingdom,92
3620,University of Delaware,United States of America,160
3630,East China Normal University,China,64
3640,Edith Cowan University,Australia,36
3650,Golestan University of Medical Sciences,Iran,32
3660,University of Greifswald,Germany,49
3670,University of Hail,Saudi Arabia,19
3680,Harbin Institute of Technology,China,64
3690,Howard University,United States of America,160
3700,Imam Mohammad Ibn Saud Islamic University,Saudi Arabia,19
3710,IMT Atlantique,France,31
3720,James Cook University,Australia,36
3730,JSS Academy of Higher Education and Research,India,37
3740,University of Kent,United Kingdom,92
3750,Khalifa University,United Arab Emirates,6
3760,Kurdistan University of Medical Sciences,Iran,32
3770,Leuphana University of Lüneburg,Germany,49
3780,University of Liège,Belgium,10
3790,Loughborough University,United Kingdom,92
3800,University of Malaya,Malaysia,11
3810,University of Manitoba,Canada,30
3820,Mazandaran University of Medical Sciences,Iran,32
3830,University of Naples Federico II,Italy,54
3840,University of New Mexico (Main campus),United States of America,160
3850,North Carolina State University,United States of America,160
3860,University of Rome II – Tor Vergata,Italy,54
3870,"Royal Holloway, University of London",United Kingdom,92
3880,Royal Veterinary College,United Kingdom,92
3890,Rush University,United States of America,160
3900,Shoolini University of Biotechnology and Management Sciences,India,37
3910,University of Stirling,United Kingdom,92
3920,Swedish University of Agricultural Sciences,Sweden,13
3930,University of Texas at Dallas,United States of America,160
3940,Tulane University,United States of America,160
3950,University of Turku,Finland,10
3960,University of Vaasa,Finland,10
3970,Verona University,Italy,54
3980,Wake Forest University,United States of America,160
3990,Washington State University,United States of America,160
4000,Wroclaw Medical University,Poland,5
4010,Alagappa University,India,37
4020,University of Alaska Fairbanks,United States of America,160
4030,Arak University of Medical Sciences,Iran,32
4040,Aston University,United Kingdom,92
4050,Aswan University,Egypt,16
4060,Babol University of Medical Sciences,Iran,32
4070,Babol Noshirvani University of Technology,Iran,32
4080,Bangor University,United Kingdom,92
4090,University of Bayreuth,Germany,49
4100,Brunel University London,United Kingdom,92
4110,University of Campinas,Brazil,8
4120,Cankaya University,Turkey,13
4130,University of Catania,Italy,54
4140,Claude Bernard University Lyon 1,France,31
4150,Colorado School of Mines,United States of America,160
4160,"Colorado State University, Fort Collins",United States of America,160
4170,Complutense University of Madrid,Spain,27
4180,University of Connecticut,United States of America,160
4190,University of Crete,Greece,9
4200,University of Cyprus,Cyprus,3
4210,University of Denver,United States of America,160
4220,Dublin City University,Ireland,8
4230,Duy Tan University,Vietnam,2
4240,Edinburgh Napier University,United Kingdom,92
4250,University of Electronic Science and Technology of China,China,64
4260,Ferhat Abbas Sétif University 1,Algeria,1
4270,University of Ferrara,Italy,54
4280,University of Florence,Italy,54
4290,Free University of Bozen-Bolzano,Italy,54
4300,University of Genoa,Italy,54
4310,Georgia State University,United States of America,160
4320,Université Grenoble Alpes,France,31
4330,Hanyang University,South Korea,18
4340,HSE University,Russia,18
4350,Hunan University,China,64
4360,University of Ibadan,Nigeria,3
4370,Illinois Institute of Technology,United States of America,160
4380,University of Innsbruck,Austria,11
4390,Institut Agro,France,31
4400,University of International Business and Economics,China,64
4410,Iowa State University,United States of America,160
4420,Jazan University,Saudi Arabia,19
4430,Justus Liebig University Giessen,Germany,49
4440,University of Jyväskylä,Finland,10
4450,University of Kansas,United States of America,160
4460,University of Klagenfurt,Austria,11
4470,Koç University,Turkey,13
4480,University of KwaZulu-Natal,South Africa,11
4490,University of Lagos,Nigeria,3
4500,Leibniz University Hannover,Germany,49
4510,Lincoln University,New Zealand,8
4510,University of Lincoln,United Kingdom,92
4530,Liverpool John Moores University,United Kingdom,92
4540,Mahatma Gandhi University,India,37
4550,University of Marburg,Germany,49
4560,Maynooth University,Ireland,8
4570,Middlesex University,United Kingdom,92
4580,University of Modena and Reggio Emilia,Italy,54
4590,Muhimbili University of Health and Allied Sciences,Tanzania,1
4600,Murdoch University,Australia,36
4610,National and Kapodistrian University of Athens,Greece,9
4620,National Research Nuclear University MEPhI,Russia,18
4630,University of Nebraska-Lincoln,United States of America,160
4640,University of Nebraska Medical Center,United States of America,160
4650,Norwegian University of Science and Technology,Norway,6
4660,Nova Southeastern University,United States of America,160
4670,Örebro University,Sweden,13
4680,University of Passau,Germany,49
4690,University of Pisa,Italy,54
4700,University of Plymouth,United Kingdom,92
4710,Pontificia Universidad Católica de Chile,Chile,6
4720,University of Porto,Portugal,9
4730,University of Portsmouth,United Kingdom,92
4740,Qazvin University of Medical Sciences,Iran,32
4750,Qom University of Medical Sciences,Iran,32
4760,Quaid-i-Azam University,Pakistan,20
4770,Sabancı University,Turkey,13
4780,Sharif University of Technology,Iran,32
4790,Shenzhen University,China,64
4800,University of Siena,Italy,54
4810,South China University of Technology,China,64
4820,Southeast University,China,64
4830,Southern Medical University,China,64
4840,SRUC (Scotland’s Rural College),United Kingdom,92
4850,University of Strathclyde,United Kingdom,92
4860,Sumy State University,Ukraine,2
4870,Syracuse University,United States of America,160
4880,Universiti Teknologi Petronas,Malaysia,11
4890,Tianjin University,China,64
4900,Ton Duc Thang University,Vietnam,2
4910,University of Trento,Italy,54
4920,The University of Tulsa,United States of America,160
4930,University of Turin,Italy,54
4940,TU Wien,Austria,11
4950,Umeå University,Sweden,13
4960,Urmia University of Medical Sciences,Iran,32
4970,Universiti Utara Malaysia,Malaysia,11
4980,Victoria University of Wellington,New Zealand,8
4990,University of Waikato,New Zealand,8
5000,University of the West of England,United Kingdom,92
5010,William & Mary,United States of America,160
5020,Xiamen University,China,64
5030,York University,Canada,30
5040,Aberystwyth University,United Kingdom,92
5050,An-Najah National University,Palestine,1
5060,University of L’Aquila,Italy,54
5070,Bauman Moscow State Technical University,Russia,18
5080,Beihang University,China,64
5090,Beijing Institute of Technology,China,64
5100,Birmingham City University,United Kingdom,92
5110,University of Bradford,United Kingdom,92
5120,Bucharest University of Economic Studies,Romania,2
5130,Centrale Nantes,France,31
5140,Changsha University of Science and Technology,China,64
5150,Charles University in Prague,Czech Republic,3
5160,University of Côte d’Azur,France,31
5170,Damietta University,Egypt,16
5180,Durban University of Technology,South Africa,11
5190,Eastern Mediterranean University,Northern Cyprus,2
5200,École des Mines de Saint-Étienne,France,31
5210,Federal University of Toulouse Midi-Pyrénées,France,31
5220,Florida International University,United States of America,160
5230,University of Fribourg,Switzerland,12
5240,"Goldsmiths, University of London",United Kingdom,92
5250,Government College University Faisalabad,Pakistan,20
5260,University of Greenwich,United Kingdom,92
5270,University of Guelph,Canada,30
5280,Gwangju Institute of Science and Technology (GIST),South Korea,18
5290,Harokopio University,Greece,9
5300,Heriot-Watt University,United Kingdom,92
5310,Hokkaido University,Japan,22
5320,Hong Kong Baptist University,Hong Kong,6
5330,University of Hull,United Kingdom,92
5340,University of Iceland,Iceland,2
5350,Indian Institute of Technology Ropar,India,37
5360,University of Insubria,Italy,54
5370,"International Institute of Information Technology, Hyderabad",India,37
5380,Iran University of Science and Technology,Iran,32
5390,"Islamic Azad University, Najafabad Branch (IAUN)",Iran,32
5400,Constructor University,Germany,49
5410,Jamia Millia Islamia,India,37
5420,Jimma University,Ethiopia,2
5430,Johannes Kepler University of Linz,Austria,11
5440,Jordan University of Science and Technology,Jordan,3
5450,Kafrelsheikh University,Egypt,16
5460,Kashan University of Medical Sciences and Health Services,Iran,32
5470,Keele University,United Kingdom,92
5480,University of Kentucky,United States of America,160
5490,Kermanshah University of Medical Sciences,Iran,32
5500,University of Kragujevac,Serbia,2
5510,Kyushu University,Japan,22
5520,Lebanese American University,Lebanon,3
5530,University of Lille,France,31
5540,University of Lisbon,Portugal,9
5550,University of Management and Technology,Pakistan,20
5560,University of Messina,Italy,54
5570,Middle East Technical University,Turkey,13
5580,Missouri University of Science and Technology,United States of America,160
5590,University of Mons,Belgium,10
5600,National Tsing Hua University,Taiwan,11
5610,National Yang Ming Chiao Tung University,Taiwan,11
5620,University of Neuchâtel,Switzerland,12
5630,University of Nicosia,Cyprus,3
5640,Northumbria University,United Kingdom,92
5650,Northwestern Polytechnical University,China,64
5660,Nottingham Trent University,United Kingdom,92
5670,Open University of Catalonia,Spain,27
5680,University of Peradeniya,Sri Lanka,2
5690,Universitat Ramon Llull,Spain,27
5700,Saint-Petersburg Mining University,Russia,18
5710,University of Salerno,Italy,54
5720,University of Saskatchewan,Canada,30
5730,University of Sassari,Italy,54
5740,Saveetha Institute of Medical and Technical Sciences,India,37
5750,Sciences Po,France,31
5760,Shiraz University of Technology,Iran,32
5770,SOAS University of London,United Kingdom,92
5780,University of South Carolina-Columbia,United States of America,160
5790,Southwestern University of Finance and Economics,China,64
5800,University of Stavanger,Norway,6
5810,Stevens Institute of Technology,United States of America,160
5820,SUNY University at Albany,United States of America,160
5830,University of Tabuk,Saudi Arabia,19
5840,Technion Israel Institute of Technology,Israel,6
5850,Tokyo Medical and Dental University (TMDU),Japan,22
5860,University of Trieste,Italy,54
5870,University of Tsukuba,Japan,22
5880,TU Dortmund University,Germany,49
5890,University of Tuscia,Italy,54
5900,University of Udine,Italy,54
5910,UiT The Arctic University of Norway,Norway,6
5920,University of Valencia,Spain,27
5930,University of Vic – Central University of Catalonia,Spain,27
5940,Victoria University,Australia,36
5950,Virginia Commonwealth University,United States of America,160
5960,Wayne State University,United States of America,160
5970,The University of the West Indies,Jamaica,1
5980,Xi’an Jiaotong University,China,64
5990,University of Zambia,Zambia,1
6000,Zayed University,United Arab Emirates,6
6010,Zhejiang Normal University,China,64
6020,Abdul Wali Khan University Mardan,Pakistan,20
6030,Åbo Akademi University,Finland,10
6040,Addis Ababa University,Ethiopia,2
6050,Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,32
6060,Ajou University,South Korea,18
6070,Amedeo Avogadro University of Eastern Piedmont,Italy,54
6080,American University,United States of America,160
6090,American University of Sharjah,United Arab Emirates,6
6100,Amirkabir University of Technology,Iran,32
6110,University of Antofagasta,Chile,6
6120,University of Arkansas,United States of America,160
6130,Auburn University,United States of America,160
6140,Azarbaijan Shahid Madani University,Iran,32
6150,University of Babylon,Iraq,2
6160,Bahçeşehir University,Turkey,13
6170,Bahria University,Pakistan,20
6180,Banaras Hindu University,India,37
6190,University of Bari Aldo Moro,Italy,54
6200,Bar-Ilan University,Israel,6
6210,Baylor University,United States of America,160
6220,Beirut Arab University,Lebanon,3
6230,Ben-Gurion University of the Negev,Israel,6
6240,Benha University,Egypt,16
6250,Université Bourgogne Franche-Comté (UBFC),France,31
6260,Ca’ Foscari University of Venice,Italy,54
6270,University of Camerino (Unicam),Italy,54
6280,University of Canterbury,New Zealand,8
6290,Capital Medical University,China,64
6300,Carleton University,Canada,30
6310,University of Central Florida,United States of America,160
6320,Central Queensland University,Australia,36
6330,Chongqing University,China,64
6340,Chung-Ang University,South Korea,18
6350,Clark University,United States of America,160
6360,University of Coimbra,Portugal,9
6370,University of Colombo,Sri Lanka,2
6380,COMSATS University Islamabad,Pakistan,20
6390,Concordia University,Canada,30
6400,University of Córdoba,Spain,27
6410,University of Costa Rica,Costa Rica,1
6420,Covenant University,Nigeria,3
6430,Cyprus University of Technology,Cyprus,3
6440,Dalian University of Technology,China,64
6450,Delhi Technological University,India,37
