rank_order,name,location,loc_count
8020,Zhengzhou University,China,64
8030,University of the Aegean,Greece,9
8040,"University of Agriculture, Faisalabad",Pakistan,20
8050,The University of Aizu,Japan,22
8060,The University of Alabama,United States of America,160
8070,Al-Azhar University,Egypt,16
8080,Al-Balqa Applied University,Jordan,3
8090,University of Alcalá,Spain,27
8100,Alexandria University,Egypt,16
8110,Aligarh Muslim University,India,37
8120,American University in Cairo,Egypt,16
8130,Anna University,India,37
8140,University of Applied Sciences and Arts of Western Switzerland,Switzerland,12
8150,Aristotle University of Thessaloniki,Greece,9
8160,Athens University of Economics and Business,Greece,9
8170,Universidad Autónoma de Chile,Chile,6
8180,University of Aveiro,Portugal,9
8190,University of the Balearic Islands,Spain,27
8200,University of the Basque Country,Spain,27
8210,University of Bedfordshire,United Kingdom,92
8220,University of Beira Interior,Portugal,9
8230,University of Belgrade,Serbia,2
8240,Beni-Suef University,Egypt,16
8250,University of Bergamo,Italy,54
8260,Bharathiar University,India,37
8270,Bilkent University,Turkey,13
8280,"Birla Institute of Technology and Science, Pilani",India,37
8290,Boğaziçi University,Turkey,13
8300,University of Brighton,United Kingdom,92
8310,Cairo University,Egypt,16
8320,University of Calabria,Italy,54
8330,Chapman University,United States of America,160
8340,Institute of Chemical Technology,India,37
8350,Chengdu University,China,64
8360,"China University of Petroleum, Beijing",China,64
8370,Chulalongkorn University,Thailand,4
8380,Clemson University,United States of America,160
8390,University of Clermont Auvergne,France,31
8400,Coventry University,United Kingdom,92
8410,CY Cergy Paris University,France,31
8420,University of Dayton,United States of America,160
8430,University of Deusto,Spain,27
8440,Diego Portales University,Chile,6
8450,Donghua University,China,64
8460,Duzce University,Turkey,13
8470,Edge Hill University,United Kingdom,92
8480,"University of Engineering and Technology, Peshawar",Pakistan,20
8490,Ewha Womans University,South Korea,18
8500,Federal University of Minas Gerais,Brazil,8
8510,Universidade Federal de Sergipe,Brazil,8
8520,Firat University,Turkey,13
8530,Florida Agricultural and Mechanical University,United States of America,160
8540,Florida Atlantic University,United States of America,160
8550,University of Foggia,Italy,54
8560,University of the Free State,South Africa,11
8570,Fujita Health University,Japan,22
8580,Fuzhou University,China,64
8590,University of Girona,Spain,27
8600,Guangdong University of Technology,China,64
8610,Hiroshima University,Japan,22
8620,Indian Institute of Technology Patna,India,37
8630,Indian Institute of Technology Gandhinagar,India,37
8640,Universitat Internacional de Catalunya,Spain,27
8650,University of Ioannina,Greece,9
8660,ISCTE-University Institute of Lisbon,Portugal,9
8670,The Islamia University of Bahawalpur,Pakistan,20
8680,Istanbul Medeniyet University,Turkey,13
8690,ITMO University,Russia,18
8700,Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,Romania,2
8710,University of Jaén,Spain,27
8720,Juntendo University,Japan,22
8730,Kansas State University,United States of America,160
8740,Karlstad University,Sweden,13
8750,Kazan Federal University,Russia,18
8760,Keio University,Japan,22
8770,Kerman University of Medical Sciences,Iran,32
8780,Kindai University,Japan,22
8790,King Faisal University,Saudi Arabia,19
8800,King Khalid University,Saudi Arabia,19
8810,King Mongkut’s University of Technology Thonburi,Thailand,4
8820,Kingston University,United Kingdom,92
8830,KL University,India,37
8840,Kobe University,Japan,22
8850,Kurume University,Japan,22
8860,Kuwait University,Kuwait,1
8870,Kyungpook National University,South Korea,18
8880,University of Lahore,Pakistan,20
8890,Lakehead University,Canada,30
8900,University of La Laguna,Spain,27
8910,University of Latvia,Latvia,2
8920,Leeds Beckett University,United Kingdom,92
8930,Lithuanian University of Health Sciences,Lithuania,2
8940,University of Ljubljana,Slovenia,1
8950,University of Lleida,Spain,27
8960,Lovely Professional University,India,37
8970,Mae Fah Luang University,Thailand,4
8980,Mahidol University,Thailand,4
8990,Makerere University,Uganda,1
9000,Universiti Malaysia Pahang,Malaysia,11
9010,University of Malta,Malta,1
9020,Manipal Academy of Higher Education,India,37
9030,Marquette University,United States of America,160
9040,Masaryk University,Czech Republic,3
9050,Medical University of Gdańsk,Poland,5
9060,University of Memphis,United States of America,160
9070,University of Minho,Portugal,9
9080,Mississippi State University,United States of America,160
9090,University of Missouri-St Louis,United States of America,160
9100,Montana State University,United States of America,160
9110,Monterrey Institute of Technology,Mexico,1
9120,University of Namur,Belgium,10
9130,Nanjing Forestry University,China,64
9140,Nanjing University of Information Science and Technology,China,64
9150,Nanjing Normal University,China,64
9160,Nanjing Tech University,China,64
9170,National Institute of Applied Sciences of Lyon (INSA Lyon),France,31
9180,École Nationale des Travaux Publics de l'État (ENTPE),France,31
9190,National University of Sciences and Technology,Pakistan,20
9200,National Sun Yat-Sen University,Taiwan,11
9210,National Taiwan Normal University,Taiwan,11
9220,National Technical University of Athens,Greece,9
9230,National Institute of Technology Hamirpur,India,37
9240,"National Institute of Technology, Tiruchirappalli",India,37
9250,The New School,United States of America,160
9260,New Mexico State University (Main campus),United States of America,160
9270,Nippon Medical School,Japan,22
9280,University of North Carolina at Greensboro,United States of America,160
9290,"Northeastern University, China",China,64
9300,Northeast Normal University,China,64
9310,University of Northern British Columbia (UNBC),Canada,30
9320,Northern Illinois University,United States of America,160
9330,Novosibirsk State University,Russia,18
9340,Ohio University (Main campus),United States of America,160
9350,Old Dominion University,United States of America,160
9360,Ozyegin University,Turkey,13
9370,Pablo de Olavide University,Spain,27
9380,University of Palermo,Italy,54
9390,Panjab University,India,37
9400,Panthéon-Sorbonne University – Paris 1,France,31
9410,Parthenope University of Naples,Italy,54
9420,Universiti Pendidikan Sultan Idris,Malaysia,11
9430,University of Peshawar,Pakistan,20
9440,University of the Philippines,Philippines,2
9450,Universitat Politècnica de Catalunya,Spain,27
9460,Polytechnic University of Valencia,Spain,27
9470,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,8
9480,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,8
9490,Pontifical Javeriana University,Colombia,2
9500,University of Pretoria,South Africa,11
9510,Princess Nourah bint Abdulrahman University,Saudi Arabia,19
9520,University of the Punjab,Pakistan,20
9530,University of Rennes 1,France,31
9540,University of Rhode Island,United States of America,160
9550,Rhodes University,South Africa,11
9560,University of Roehampton,United Kingdom,92
9570,University of Rome III,Italy,54
9580,Roskilde University,Denmark,7
9590,Saint Petersburg State University,Russia,18
9600,University of Salamanca,Spain,27
9610,University of Salento,Italy,54
9620,University of Salford,United Kingdom,92
9630,University of Science and Technology Beijing,China,64
9640,Sechenov University,Russia,18
9650,University of La Serena,Chile,6
9660,Shahid Beheshti University,Iran,32
9670,Shantou University,China,64
9680,Sheffield Hallam University,United Kingdom,92
9690,Shiraz University,Iran,32
9700,Shiraz University of Medical Sciences,Iran,32
9710,University of Siegen,Germany,49
9720,University of South Bohemia in České Budějovice,Czech Republic,3
9730,South China Normal University,China,64
9740,Southern Illinois University Carbondale,United States of America,160
9750,South Ural State University,Russia,18
9760,Suez Canal University,Egypt,16
9770,Sunway University,Malaysia,11
9780,Symbiosis International University,India,37
9790,Taibah University,Saudi Arabia,19
9800,Tanta University,Egypt,16
9810,"University of Technology, Iraq",Iraq,2
9820,Universiti Tenaga Nasional (UNITEN),Malaysia,11
9830,University of Texas at El Paso,United States of America,160
9840,Texas Tech University,United States of America,160
9850,University of Thessaly,Greece,9
9860,Toronto Metropolitan University,Canada,30
9870,Tribhuvan University,Nepal,1
